"","GEOID","TotalPop","MedHHInc","Poverty","PubSNAP","MedRent","MedHomeVal","OwnerOcc","RenterOcc","VacHU","TotalHU","MedHUBuilt","BlackPop","HispLatPop","WhitePop","AsianPop","NatAmPop","Bach_deg","HS_Grad","No_HS_Deg","Grad_deg","Drive_commute","Carpool_commute","PubTrans_commute","Bike_commute","Walk_commute","WFA_commute","US_cit","NotUS_cit","EmplPop","UnemplPop","Occ_Agri","Occ_Const","Occ_Manuf","Occ_Wholesale","Occ_Retail","Occ_Transport","Occ_Info","Occ_FinIns","Occ_Prof_sci_mangr","Occ_Edu_health","Occ_Art_Hosp","Occ_PubAdmin","Occ_ArmedForce","Occ_other"
"117","47037018405",5040,91786,123,71,846,242100,1669,233,71,1973,1985,174,165,4368,283,0,1156,562,97,867,2312,143,18,18,0,105,4703,246,2661,140,10,257,107,71,337,49,71,248,287,751,200,163,15,84
"118","47037018202",6528,53356,974,181,933,266400,1051,2323,288,3662,1988,1095,352,4827,167,0,1615,566,222,1148,3247,191,59,0,0,221,5854,504,3870,322,63,0,251,60,253,24,101,348,480,1283,484,181,34,163
"119","47037014300",1908,27939,533,317,526,87100,239,532,215,986,1958,1678,24,96,0,0,109,470,209,47,388,88,149,0,14,0,1895,13,666,149,0,13,35,0,117,26,5,0,51,197,67,85,0,43
"120","47037014400",958,17976,482,210,493,NA,9,483,107,599,2001,760,5,197,36,0,32,140,138,91,200,27,32,0,45,3,1012,27,300,144,0,13,9,0,12,46,4,16,29,113,10,33,7,15
"121","47037016600",2322,39505,382,200,834,249600,322,1254,338,1914,1982,258,33,1544,489,0,701,146,157,562,972,80,47,73,169,227,1821,442,1596,0,0,0,32,89,54,43,45,79,305,659,194,53,0,34
"122","47037019003",4983,32611,1212,493,629,150500,468,1229,164,1861,1973,712,2521,1579,35,0,282,878,995,113,1436,630,54,0,35,37,3113,1673,2242,374,0,649,306,30,220,64,40,58,246,176,275,37,0,124
"123","47037019109",4605,47827,482,271,685,112200,1254,254,247,1755,1977,959,1664,1656,201,0,330,1136,805,96,1855,332,2,0,14,125,3069,1185,2404,205,26,236,195,46,262,34,62,169,330,289,559,70,0,119
"124","47037980100",0,NA,0,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","47037019006",5115,29992,1912,529,641,118000,963,782,169,1914,1972,1279,1473,1834,278,44,343,907,914,78,1471,285,21,0,21,46,3460,1064,1913,349,0,173,248,114,310,78,55,43,160,236,215,73,0,139
"126","47037017902",4541,77117,225,27,1289,410500,1525,846,183,2554,1983,51,156,4298,17,0,1420,341,67,1100,1976,119,16,0,40,199,4361,66,2484,40,0,139,152,189,204,26,168,206,340,639,248,0,0,98
