Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
1300 Gadd Rd,Chattanooga,TN,37343,11/07/2017 07:00:00 PM,TN0330100,A1,Adam N,120,Robbery,Part 1 Crimes,17-108819,3,Pending/Possible Leads,35.142399,-85.238547,POINT (-85.238547 35.142399),3
500 Market St,Chattanooga,TN,37402,11/07/2017 04:15:00 PM,TN0330100,A7,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-108683,2,Cleared by Arrest,35.050767,-85.31018999999999,POINT (-85.31019 35.050767),7
2100 Shepherd Rd,Chattanooga,TN,37421,11/06/2017 07:30:00 PM,TN0330100,C6,Charlie N,13A,Aggravated Assault,Part 1 Crimes,17-108426,3,Pending/Possible Leads,35.044543,-85.181687,POINT (-85.181687 35.044543),6
4100 Shallowford Rd,Chattanooga,TN,37411,11/06/2017 07:05:00 PM,TN0330100,C2,Charlie S,120,Robbery,Part 1 Crimes,17-108422,3,Pending/Possible Leads,35.043122000000004,-85.221593,POINT (-85.221593 35.043122),5
3100 Dodds Ave,Chattanooga,TN,37407,11/06/2017 06:30:00 PM,TN0330100,B8,Baker S,120,Robbery,Part 1 Crimes,17-108420,3,Pending/Possible Leads,35.006295,-85.278669,POINT (-85.278669 35.006295),7
2100 Chestnut St,Chattanooga,TN,37408,11/05/2017 11:30:00 PM,TN0330100,A10,Adam S,13A,Aggravated Assault,Part 1 Crimes,17-108058,3,Pending/Possible Leads,35.034452,-85.31666999999999,POINT (-85.31667 35.034452),7
1800 S Beech St,Chattanooga,TN,37404,11/05/2017 10:18:00 PM,TN0330100,B6,Baker S,120,Robbery,Part 1 Crimes,17-108108,3,Pending/Possible Leads,35.023015,-85.28114,POINT (-85.28114 35.023015),8
200 Mcbrien Rd,Chattanooga,TN,37411,11/05/2017 08:59:00 PM,TN0330100,C3,Charlie S,13A,Aggravated Assault,Part 1 Crimes,17-108092,3,Pending/Possible Leads,35.007676000000004,-85.225741,POINT (-85.225741 35.007676),6
1000 Baldwin St,Chattanooga,TN,37403,11/05/2017 07:17:00 PM,TN0330100,A9,Adam S,09A,Murder & Non-Negligent Manslaughter,Part 1 Crimes,17-108066,3,Pending/Possible Leads,35.042006,-85.30016599999999,POINT (-85.300166 35.042006),8
1900 Gunbarrel Rd,Chattanooga,TN,37421,11/05/2017 04:00:00 PM,TN0330100,C7,Charlie N,13A,Aggravated Assault,Part 1 Crimes,17-108020,2,Cleared by Arrest,35.027285,-85.156026,POINT (-85.156026 35.027285),4
