Address,City,State,Zip,Date_Incident,Jurisdiction,Incident_Tract,Zone,UCR_Incident_Code,Incident_Description,Incident_Type,Case_Number,Case_Status,Case_Status_Description,Latitude,Longitude,Location,citydst
100 Hollyberry Ln,Chattanooga,TN,37411,04/25/2024 08:45:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-037416,3,Pending/Possible Leads,35.020153,-85.23813000000001,POINT (-85.23813 35.020153),5.0
1100 W 40th St,Chattanooga,TN,37410,04/25/2024 07:46:00 PM,TN0330100,A12,Adam S,120,Robbery,Part 1 Crimes,24-037400,3,Pending/Possible Leads,35.010593,-85.32041600000001,POINT (-85.320416 35.010593),7.0
500 Manufacturers Rd,Chattanooga,TN,37405,04/25/2024 11:44:00 AM,TN0330100,A5,Adam N,13A,Aggravated Assault,Part 1 Crimes,24-037223,3,Pending/Possible Leads,35.06224,-85.315699,POINT (-85.315699 35.06224),1.0
700 E 11th St,Chattanooga,TN,37403,04/25/2024 11:16:00 AM,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-037216,2,Cleared by Arrest,35.040994999999995,-85.300444,POINT (-85.300444 35.040995),8.0
1200 E Main St,Chattanooga,TN,37408,04/25/2024 11:10:00 AM,TN0330100,B5,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-037213,3,Pending/Possible Leads,35.028491,-85.28873399999999,POINT (-85.288734 35.028491),8.0
1000 Graysville Rd,Chattanooga,TN,37421,04/25/2024 10:25:00 AM,TN0330100,C8,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-037202,3,Pending/Possible Leads,34.999522999999996,-85.149754,POINT (-85.149754 34.999523),4.0
700 Cherry St,Chattanooga,TN,37402,04/25/2024 03:00:00 AM,TN0330100,A7,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-037134,3,Pending/Possible Leads,35.04833,-85.307705,POINT (-85.307705 35.04833),7.0
2600 Carr St,Chattanooga,TN,37408,04/24/2024 11:54:00 PM,TN0330100,A10,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-037106,2,Cleared by Arrest,35.025698,-85.313066,POINT (-85.313066 35.025698),7.0
E 11th St & Peeples St,Chattanooga,TN,37403,04/24/2024 10:17:00 PM,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-037108,2,Cleared by Arrest,35.040846,-85.298832,POINT (-85.298832 35.040846),8.0
1300 Dodson Ave,Chattanooga,TN,37406,04/24/2024 06:37:00 PM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-037029,3,Pending/Possible Leads,35.051177,-85.261127,POINT (-85.261127 35.051177),9.0
900 Blackford St,Chattanooga,TN,37403,04/23/2024 11:37:00 PM,TN0330100,A8,Adam S,11A,Forcible Rape,Part 1 Crimes,24-036718,3,Pending/Possible Leads,35.049187,-85.289023,POINT (-85.289023 35.049187),8.0
2100 Cleveland Ave,Chattanooga,TN,37404,04/23/2024 06:39:00 PM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-036673,3,Pending/Possible Leads,35.041775,-85.26838500000001,POINT (-85.268385 35.041775),8.0
1200 Cypress Street Ct,Chattanooga,TN,37402,04/22/2024 10:18:00 PM,TN0330100,A6,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-036386,2,Cleared by Arrest,35.043109,-85.317379,POINT (-85.317379 35.043109),7.0
1200 Gadd Rd,Chattanooga,TN,37343,04/22/2024 09:17:00 PM,TN0330100,A1,Adam N,13A,Aggravated Assault,Part 1 Crimes,24-036369,3,Pending/Possible Leads,35.142534999999995,-85.24820700000001,POINT (-85.248207 35.142535),3.0
3400 Cagle Rd,Chattanooga,TN,37419,04/21/2024 11:19:00 PM,TN0330100,A13,Adam S,11A,Forcible Rape,Part 1 Crimes,24-036050,3,Pending/Possible Leads,35.045727,-85.365615,POINT (-85.365615 35.045727),1.0
2800 E 46th St,Chattanooga,TN,37407,04/21/2024 10:02:00 PM,TN0330100,B9,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-036029,3,Pending/Possible Leads,34.989248,-85.28702200000001,POINT (-85.287022 34.989248),7.0
1400 N Chamberlain Ave,Chattanooga,TN,37406,04/21/2024 07:20:00 PM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-035990,3,Pending/Possible Leads,35.051792,-85.25665799999999,POINT (-85.256658 35.051792),9.0
4001-411 Shallowford Rd,Chattanooga,TN,37411,04/21/2024 02:53:00 PM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-035927,3,Pending/Possible Leads,35.043606,-85.22081299999999,POINT (-85.220813 35.043606),5.0
4700 Bonny Oaks Dr,Chattanooga,TN,37416,04/21/2024 01:49:00 PM,TN0330100,C5,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035910,3,Pending/Possible Leads,35.077816,-85.19496000000001,POINT (-85.19496 35.077816),5.0
6200 Hixson Pike,Chattanooga,TN,37343,04/21/2024 12:00:00 PM,TN0330100,A2,Adam N,120,Robbery,Part 1 Crimes,24-036303,3,Pending/Possible Leads,35.152511000000004,-85.19962199999999,POINT (-85.199622 35.152511),3.0
2300 4th Ave,Chattanooga,TN,37404,04/21/2024 06:51:00 AM,TN0330100,B6,Baker S,120,Robbery,Part 1 Crimes,24-035830,2,Cleared by Arrest,35.018208,-85.28054,POINT (-85.28054 35.018208),8.0
300 Mcbrien Rd,Chattanooga,TN,37411,04/21/2024 01:25:00 AM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-035787,2,Cleared by Arrest,35.00673,-85.223838,POINT (-85.223838 35.00673),6.0
1000 E 8th St,Chattanooga,TN,37403,04/20/2024 10:41:00 PM,TN0330100,A8,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-035750,3,Pending/Possible Leads,35.041745,-85.29485,POINT (-85.29485 35.041745),8.0
2600 Glenwood Pkwy,Chattanooga,TN,37404,04/20/2024 08:56:00 PM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-035718,2,Cleared by Arrest,35.034259999999996,-85.261504,POINT (-85.261504 35.03426),9.0
1100 Peeples St,Chattanooga,TN,37403,04/20/2024 04:10:00 PM,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-035616,2,Cleared by Arrest,35.040756,-85.300263,POINT (-85.300263 35.040756),8.0
3600 Dorris St,Chattanooga,TN,37410,04/20/2024 12:40:00 PM,TN0330100,A11,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-035544,2,Cleared by Arrest,35.007101,-85.30861300000001,POINT (-85.308613 35.007101),7.0
3900 Teakwood Dr,Chattanooga,TN,37416,04/20/2024 12:30:00 PM,TN0330100,C5,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035547,3,Pending/Possible Leads,35.092164000000004,-85.186143,POINT (-85.186143 35.092164),3.0
7900 Shallowford Rd,Chattanooga,TN,37421,04/20/2024 10:00:00 AM,TN0330100,C7,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035501,3,Pending/Possible Leads,35.03382,-85.133985,POINT (-85.133985 35.03382),4.0
Hickory Valley Rd & Bonny Oaks Dr,Chattanooga,TN,37421,04/20/2024 03:30:00 AM,TN0330100,C9,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035452,3,Pending/Possible Leads,35.0720095,-85.157133,POINT (-85.157133 35.0720095),6.0
2400 Gunbarrel Rd,Chattanooga,TN,37421,04/20/2024 01:00:00 AM,TN0330100,C9,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035416,3,Pending/Possible Leads,35.045587999999995,-85.14813600000001,POINT (-85.148136 35.045588),4.0
2900 E 46th St,Chattanooga,TN,37407,04/20/2024 12:02:00 AM,TN0330100,B9,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-035404,2,Cleared by Arrest,34.989178,-85.28625000000001,POINT (-85.28625 34.989178),7.0
400 Tunnel Blvd,Chattanooga,TN,37411,04/19/2024 07:18:00 PM,TN0330100,C2,Charlie S,120,Robbery,Part 1 Crimes,24-035309,3,Pending/Possible Leads,35.033102,-85.24328299999999,POINT (-85.243283 35.033102),9.0
800 N Holtzclaw Ave,Chattanooga,TN,37404,04/19/2024 07:01:00 PM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-035312,2,Cleared by Arrest,35.048592,-85.27515000000001,POINT (-85.27515 35.048592),8.0
1900 Gunbarrel Rd,Chattanooga,TN,37421,04/19/2024 12:46:00 PM,TN0330100,C7,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035181,2,Cleared by Arrest,35.028539,-85.157192,POINT (-85.157192 35.028539),4.0
1500 Hickory Valley Rd,Chattanooga,TN,37421,04/19/2024 12:30:00 PM,TN0330100,C4,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-035183,2,Cleared by Arrest,35.023839,-85.179613,POINT (-85.179613 35.023839),6.0
700 E 11th St,Chattanooga,TN,37402,04/19/2024 11:00:00 AM,TN0330100,A9,Adam S,120,Robbery,Part 1 Crimes,24-035341,3,Pending/Possible Leads,35.0428029,-85.316067,POINT (-85.316067 35.0428029),7.0
7700 Lee Hwy,Chattanooga,TN,37421,04/19/2024 06:50:00 AM,TN0330100,C9,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-035090,3,Pending/Possible Leads,35.060755,-85.134833,POINT (-85.134833 35.060755),6.0
1500 Broad St,Chattanooga,TN,37408,04/19/2024 05:45:00 AM,TN0330100,A10,Adam S,120,Robbery,Part 1 Crimes,24-035102,3,Pending/Possible Leads,35.036542000000004,-85.311648,POINT (-85.311648 35.036542),7.0
1700 Arlington Ave,Chattanooga,TN,37406,04/18/2024 10:55:00 PM,TN0330100,B2,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-035000,3,Pending/Possible Leads,35.055394,-85.256271,POINT (-85.256271 35.055394),9.0
200 Highway 27 Nb,Chattanooga,TN,37402,04/18/2024 08:00:00 PM,TN0330100,A7,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-035611,3,Pending/Possible Leads,35.058498,-85.31542400000001,POINT (-85.315424 35.058498),1.0
4000 Shallowford Rd,Chattanooga,TN,37411,04/18/2024 09:47:00 AM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-034744,3,Pending/Possible Leads,35.043458,-85.219533,POINT (-85.219533 35.043458),5.0
900 Hooker Rd,Chattanooga,TN,37410,04/17/2024 09:00:00 PM,TN0330100,A12,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-034763,3,Pending/Possible Leads,34.989294,-85.290598,POINT (-85.290598 34.989294),7.0
7700 Lee Hwy,Chattanooga,TN,37421,04/17/2024 08:16:00 PM,TN0330100,C9,Charlie N,120,Robbery,Part 1 Crimes,24-034599,2,Cleared by Arrest,35.062546999999995,-85.132489,POINT (-85.132489 35.062547),6.0
2000 Gunbarrel Rd,Chattanooga,TN,37421,04/17/2024 07:02:00 PM,TN0330100,C7,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-034541,3,Pending/Possible Leads,35.030779,-85.15353300000001,POINT (-85.153533 35.030779),4.0
Union St & S Hawthorne St,Chattanooga,TN,37404,04/17/2024 03:21:00 PM,TN0330100,B5,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-034480,3,Pending/Possible Leads,35.033373000000005,-85.277529,POINT (-85.277529 35.033373),9.0
100 Glenwood Dr,Chattanooga,TN,37404,04/17/2024 12:38:00 PM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-034430,2,Cleared by Arrest,35.031574,-85.263376,POINT (-85.263376 35.031574),9.0
4200 Brainerd Rd,Chattanooga,TN,37411,04/17/2024 11:25:00 AM,TN0330100,C2,Charlie S,120,Robbery,Part 1 Crimes,24-034393,3,Pending/Possible Leads,35.016918,-85.23668199999999,POINT (-85.236682 35.016918),5.0
2300 Windsor St,Chattanooga,TN,37406,04/16/2024 07:58:00 PM,TN0330100,B3,Baker N,09A,Murder & Non-Negligent Manslaughter,Part 1 Crimes,24-034229,3,Pending/Possible Leads,35.046771,-85.260898,POINT (-85.260898 35.046771),8.0
100 Hollyberry Ln,Chattanooga,TN,37411,04/16/2024 04:24:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-034158,3,Pending/Possible Leads,35.021397,-85.23649999999999,POINT (-85.2365 35.021397),5.0
1300 Bradt St,Chattanooga,TN,37406,04/16/2024 09:40:00 AM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-034021,2,Cleared by Arrest,35.051787000000004,-85.26340900000001,POINT (-85.263409 35.051787),8.0
3200 Brainerd Rd,Chattanooga,TN,37411,04/16/2024 03:42:00 AM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-033971,2,Cleared by Arrest,35.027957,-85.25503,POINT (-85.25503 35.027957),9.0
7300 Courage Way,Chattanooga,TN,37421,04/16/2024 02:15:00 AM,TN0330100,C8,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-033967,2,Cleared by Arrest,35.023745999999996,-85.151906,POINT (-85.151906 35.023746),4.0
5800 Lake Resort Ter,Chattanooga,TN,37415,04/16/2024 01:50:00 AM,TN0330100,A2,Adam N,120,Robbery,Part 1 Crimes,24-033963,3,Pending/Possible Leads,35.113043000000005,-85.215177,POINT (-85.215177 35.113043),3.0
1300 Arlington Ave,Chattanooga,TN,37406,04/15/2024 09:30:00 PM,TN0330100,B3,Baker N,11A,Forcible Rape,Part 1 Crimes,24-034086,3,Pending/Possible Leads,35.049184,-85.25723,POINT (-85.25723 35.049184),9.0
5900 Brainerd Rd,Chattanooga,TN,37421,04/15/2024 09:13:00 PM,TN0330100,C4,Charlie S,120,Robbery,Part 1 Crimes,24-033915,3,Pending/Possible Leads,35.015749,-85.20848000000001,POINT (-85.20848 35.015749),6.0
2600 E 45th St,Chattanooga,TN,37407,04/15/2024 08:14:00 PM,TN0330100,B9,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-033886,2,Cleared by Arrest,34.991617999999995,-85.288675,POINT (-85.288675 34.991618),7.0
1900 Milne St,Chattanooga,TN,37406,04/15/2024 05:00:00 PM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-033827,3,Pending/Possible Leads,35.049099,-85.268229,POINT (-85.268229 35.049099),8.0
2500 6th Ave,Chattanooga,TN,37407,04/15/2024 04:36:00 PM,TN0330100,B8,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-033807,3,Pending/Possible Leads,35.013822000000005,-85.27931,POINT (-85.27931 35.013822),8.0
5000 14th Ave,Chattanooga,TN,37407,04/15/2024 02:28:00 AM,TN0330100,B9,Baker S,11A,Forcible Rape,Part 1 Crimes,24-033559,3,Pending/Possible Leads,35.013228,-85.28320699999999,POINT (-85.283207 35.013228),8.0
700 N Germantown Rd,Chattanooga,TN,37411,04/14/2024 08:29:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-033518,2,Cleared by Arrest,35.034869,-85.24291400000001,POINT (-85.242914 35.034869),
1000 N Chamberlain Ave,Chattanooga,TN,37406,04/14/2024 11:38:00 AM,TN0330100,B3,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-033369,2,Cleared by Arrest,35.047315999999995,-85.25894500000001,POINT (-85.258945 35.047316),8.0
3700 Pirola St,Chattanooga,TN,37410,04/14/2024 09:00:00 AM,TN0330100,A12,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-033353,2,Cleared by Arrest,35.010029,-85.321052,POINT (-85.321052 35.010029),7.0
9200 Lee Hwy,Chattanooga,TN,37363,04/14/2024 05:01:00 AM,TN0330100,C9,Charlie N,120,Robbery,Part 1 Crimes,24-033327,3,Pending/Possible Leads,35.083731,-85.060488,POINT (-85.060488 35.083731),6.0
1100 Orangewood Ave,Chattanooga,TN,37411,04/14/2024 04:31:00 AM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-033323,2,Cleared by Arrest,35.045171999999994,-85.24469400000001,POINT (-85.244694 35.045172),9.0
1400 E 5th St,Chattanooga,TN,37404,04/14/2024 03:39:00 AM,TN0330100,B4,Baker N,11A,Forcible Rape,Part 1 Crimes,24-033324,3,Pending/Possible Leads,35.04228,-85.27901299999999,POINT (-85.279013 35.04228),8.0
7700 Lee Hwy,Chattanooga,TN,37421,04/14/2024 03:20:00 AM,TN0330100,C9,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-033315,2,Cleared by Arrest,35.062169,-85.133254,POINT (-85.133254 35.062169),6.0
5500 Hixson Pike,Chattanooga,TN,37343,04/14/2024 12:30:00 AM,TN0330100,A1,Adam N,120,Robbery,Part 1 Crimes,24-033284,3,Pending/Possible Leads,35.146145,-85.222509,POINT (-85.222509 35.146145),3.0
7500 E Brainerd Rd,Chattanooga,TN,37421,04/13/2024 10:40:00 PM,TN0330100,C8,Charlie N,120,Robbery,Part 1 Crimes,24-033247,3,Pending/Possible Leads,35.013425999999995,-85.15845499999999,POINT (-85.158455 35.013426),4.0
1800 Rossville Ave,Chattanooga,TN,37408,04/13/2024 09:00:00 PM,TN0330100,A10,Adam S,11A,Forcible Rape,Part 1 Crimes,24-033403,3,Pending/Possible Leads,35.032434,-85.30233100000001,POINT (-85.302331 35.032434),7.0
4700 N Terrace,Chattanooga,TN,37411,04/13/2024 03:24:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-033110,2,Cleared by Arrest,35.008770000000005,-85.232138,POINT (-85.232138 35.00877),6.0
3900 5th Ave,Chattanooga,TN,37407,04/13/2024 02:15:00 PM,TN0330100,B9,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-033085,2,Cleared by Arrest,34.997110000000006,-85.28804,POINT (-85.28804 34.99711),7.0
300 Frazier Ave,Chattanooga,TN,37405,04/13/2024 02:12:00 PM,TN0330100,A4,Adam N,13A,Aggravated Assault,Part 1 Crimes,24-033083,3,Pending/Possible Leads,35.062212,-85.305031,POINT (-85.305031 35.062212),2.0
1500 Ryan St,Chattanooga,TN,37404,04/13/2024 12:00:00 PM,TN0330100,B6,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-033056,3,Pending/Possible Leads,35.020061,-85.268769,POINT (-85.268769 35.020061),9.0
6400 Rosemary Dr,Chattanooga,TN,37416,04/13/2024 05:00:00 AM,TN0330100,C5,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-032967,3,Pending/Possible Leads,35.081883,-85.17429200000001,POINT (-85.174292 35.081883),5.0
1300 Grove St,Chattanooga,TN,37402,04/12/2024 09:53:00 PM,TN0330100,A6,Adam S,120,Robbery,Part 1 Crimes,24-030328,3,Pending/Possible Leads,35.123763000000004,-85.239478,POINT (-85.239478 35.123763),3.0
1300 Phils Dr,Chattanooga,TN,37421,04/12/2024 09:00:00 PM,TN0330100,C8,Charlie N,11A,Forcible Rape,Part 1 Crimes,24-035402,3,Pending/Possible Leads,35.014914,-85.17381900000001,POINT (-85.173819 35.014914),6.0
5500 Honeysuckle Dr,Chattanooga,TN,37411,04/12/2024 05:15:00 PM,TN0330100,C3,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-032774,3,Pending/Possible Leads,35.007349,-85.217511,POINT (-85.217511 35.007349),6.0
2200 Morris Hill Rd,Chattanooga,TN,37421,04/12/2024 10:03:00 AM,TN0330100,C7,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-032643,3,Pending/Possible Leads,35.026558,-85.12113599999999,POINT (-85.121136 35.026558),4.0
4000 Harbor Hills Rd,Chattanooga,TN,37416,04/12/2024 07:44:00 AM,TN0330100,C5,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-032595,2,Cleared by Arrest,35.092439,-85.188506,POINT (-85.188506 35.092439),3.0
1400 Cemetery Ave,Chattanooga,TN,37408,04/12/2024 04:06:00 AM,TN0330100,B8,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-032570,2,Cleared by Arrest,35.032869,-85.296076,POINT (-85.296076 35.032869),8.0
1700 Reggie White Blvd,Chattanooga,TN,37402,04/12/2024 02:59:00 AM,TN0330100,A10,Adam S,09A,Murder & Non-Negligent Manslaughter,Part 1 Crimes,24-032564,3,Pending/Possible Leads,35.036889,-85.317719,POINT (-85.317719 35.036889),7.0
3400 Gay St,Chattanooga,TN,37411,04/11/2024 05:20:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-032417,2,Cleared by Arrest,35.043965,-85.239102,POINT (-85.239102 35.043965),9.0
2400 5th Avenue Ct,Chattanooga,TN,37407,04/11/2024 03:25:00 PM,TN0330100,B8,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-032370,2,Cleared by Arrest,35.016185,-85.279103,POINT (-85.279103 35.016185),8.0
600 Tunnel Blvd,Chattanooga,TN,37411,04/11/2024 01:23:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-032329,3,Pending/Possible Leads,35.036931,-85.242199,POINT (-85.242199 35.036931),
1900 E 23rd St,Chattanooga,TN,37404,04/11/2024 11:37:00 AM,TN0330100,B6,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-032301,3,Pending/Possible Leads,35.01955,-85.283541,POINT (-85.283541 35.01955),8.0
3000 Addison Rd,Chattanooga,TN,37406,04/11/2024 11:35:00 AM,TN0330100,A1,Adam N,13A,Aggravated Assault,Part 1 Crimes,24-032302,2,Cleared by Arrest,35.080072,-85.228306,POINT (-85.228306 35.080072),9.0
700 E 11th St,Chattanooga,TN,37403,04/10/2024 11:03:00 PM,TN0330100,A9,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-032168,3,Pending/Possible Leads,35.039755,-85.299198,POINT (-85.299198 35.039755),8.0
600 Signal Mountain Rd,Chattanooga,TN,37405,04/10/2024 09:45:00 PM,TN0330100,A5,Adam N,120,Robbery,Part 1 Crimes,24-032135,3,Pending/Possible Leads,35.096739,-85.328276,POINT (-85.328276 35.096739),1.0
3800 Bonny Oaks Dr,Chattanooga,TN,37406,04/10/2024 05:25:00 PM,TN0330100,B1,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-032094,2,Cleared by Arrest,35.075672000000004,-85.23009,POINT (-85.23009 35.075672),5.0
3400 Gay St,Chattanooga,TN,37411,04/10/2024 05:24:00 PM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-032061,2,Cleared by Arrest,35.044087,-85.23899700000001,POINT (-85.238997 35.044087),9.0
400 Derby St,Chattanooga,TN,37404,04/10/2024 02:53:00 PM,TN0330100,B4,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-031990,3,Pending/Possible Leads,35.037756,-85.264555,POINT (-85.264555 35.037756),9.0
1000 N Moore Rd,Chattanooga,TN,37411,04/10/2024 07:15:00 AM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-031840,3,Pending/Possible Leads,35.025657,-85.22216300000001,POINT (-85.222163 35.025657),5.0
1700 S Lyerly St,Chattanooga,TN,37404,04/09/2024 12:00:00 AM,TN0330100,B6,Baker S,120,Robbery,Part 1 Crimes,24-031453,3,Pending/Possible Leads,35.022333,-85.274577,POINT (-85.274577 35.022333),9.0
1200 Cypress Street Ct,Chattanooga,TN,37402,04/08/2024 09:30:00 PM,TN0330100,A6,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-031405,3,Pending/Possible Leads,35.042182000000004,-85.318633,POINT (-85.318633 35.042182),7.0
700 E 11th St,Chattanooga,TN,37403,04/08/2024 11:00:00 AM,TN0330100,A9,Adam S,120,Robbery,Part 1 Crimes,24-031547,1,Unfounded,35.039182000000004,-85.29966499999999,POINT (-85.299665 35.039182),8.0
3900 Camellia Dr,Chattanooga,TN,37421,04/08/2024 10:42:00 AM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-031191,3,Pending/Possible Leads,35.060051,-85.209147,POINT (-85.209147 35.060051),5.0
2600 Williams St,Chattanooga,TN,37408,04/08/2024 09:50:00 AM,TN0330100,A10,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-031174,3,Pending/Possible Leads,35.027079,-85.313866,POINT (-85.313866 35.027079),7.0
3300 Campbell St,Chattanooga,TN,37406,04/07/2024 09:00:00 PM,TN0330100,B1,Baker N,120,Robbery,Part 1 Crimes,24-031073,3,Pending/Possible Leads,35.073786,-85.24036,POINT (-85.24036 35.073786),9.0
1900 Colonial Way Cir,Chattanooga,TN,37343,04/07/2024 08:16:00 PM,TN0330100,A2,Adam N,11A,Forcible Rape,Part 1 Crimes,24-031044,3,Pending/Possible Leads,35.136094,-85.19695,POINT (-85.19695 35.136094),3.0
2000 Tunnel Blvd,Chattanooga,TN,37406,04/07/2024 06:41:00 PM,TN0330100,C1,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-031008,3,Pending/Possible Leads,35.051275999999994,-85.23452,POINT (-85.23452 35.051276),5.0
5900 Shallowford Rd,Chattanooga,TN,37421,04/07/2024 06:00:00 PM,TN0330100,C4,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-031023,3,Pending/Possible Leads,35.053593,-85.193702,POINT (-85.193702 35.053593),6.0
300 Mcbrien Rd,Chattanooga,TN,37411,04/07/2024 03:05:00 PM,TN0330100,C3,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-030933,3,Pending/Possible Leads,35.006342999999994,-85.224518,POINT (-85.224518 35.006343),6.0
5300 Slayton Ave,Chattanooga,TN,37410,04/07/2024 02:00:00 PM,TN0330100,A12,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-030956,3,Pending/Possible Leads,34.987825,-85.32098400000001,POINT (-85.320984 34.987825),7.0
300 Booth Rd,Chattanooga,TN,37411,04/07/2024 01:17:00 PM,TN0330100,C2,Charlie S,13A,Aggravated Assault,Part 1 Crimes,24-030919,3,Pending/Possible Leads,35.029395,-85.245511,POINT (-85.245511 35.029395),9.0
4500 Highway 58,Chattanooga,TN,37416,04/07/2024 11:42:00 AM,TN0330100,C5,Charlie N,13A,Aggravated Assault,Part 1 Crimes,24-030899,3,Pending/Possible Leads,35.085116,-85.194918,POINT (-85.194918 35.085116),5.0
2400 Glass St,Chattanooga,TN,37406,04/07/2024 03:24:00 AM,TN0330100,B2,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-030828,2,Cleared by Arrest,35.065365,-85.24951,POINT (-85.24951 35.065365),9.0
800 E 4th St,Chattanooga,TN,37403,04/06/2024 10:21:00 PM,TN0330100,A8,Adam S,13A,Aggravated Assault,Part 1 Crimes,24-030768,2,Cleared by Arrest,35.05065,-85.299611,POINT (-85.299611 35.05065),8.0
1100 E 16th St,Chattanooga,TN,37408,04/06/2024 07:35:00 PM,TN0330100,B6,Baker S,13A,Aggravated Assault,Part 1 Crimes,24-030705,3,Pending/Possible Leads,35.028892000000006,-85.291199,POINT (-85.291199 35.028892),8.0
1800 Taylor St,Chattanooga,TN,37406,04/06/2024 06:25:00 PM,TN0330100,B2,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-030689,3,Pending/Possible Leads,35.056423,-85.25756,POINT (-85.25756 35.056423),9.0
1700 Jackson St,Chattanooga,TN,37404,04/06/2024 06:06:00 PM,TN0330100,B4,Baker N,09A,Murder & Non-Negligent Manslaughter,Part 1 Crimes,24-030664,2,Cleared by Arrest,35.044858000000005,-85.271855,POINT (-85.271855 35.044858),8.0
2200 Wilcox Blvd,Chattanooga,TN,37406,04/06/2024 06:00:00 PM,TN0330100,B2,Baker N,13A,Aggravated Assault,Part 1 Crimes,24-030681,3,Pending/Possible Leads,35.053228999999995,-85.260812,POINT (-85.260812 35.053229),8.0
